Stock,Algorithm,Estimators,Depth,Metric,No_of_features,Model_Score,Future_day,Our_test_score
 BSMX,KNN,0,0,hamming,0,0.4676258992805755,30,21
 CAPL,KNN,0,0,chebyshev,0,0.562962962962963,30,23
 BRC,KNN,0,0,canberra,0,0.5678704856787049,20,7
 CAG,KNN,0,0,chebyshev,0,0.572851805728518,20,11
 CAH,KNN,0,0,manhattan,0,0.5255292652552926,20,12
 BMY,KNN,0,0,euclidean,0,0.6213468869123253,40,26
 CAPL,KNN,0,0,chebyshev,0,0.5984251968503937,40,17
 BSMX,KNN,0,0,manhattan,0,0.7480916030534351,40,33
 CAI,KNN,0,0,canberra,0,0.6731182795698925,30,22
 BQH,KNN,0,0,chebyshev,0,0.6964856230031949,30,12
 BRC,KNN,0,0,hamming,0,0.4729559748427673,30,19
